,ball_no,inning,ovr,runs_batter,runs_w_extras
0,1,1.625,9.525,0.375,0.875
1,2,1.625,9.8375,0.25,0.25
2,3,1.7142857142857142,4.385714285714285,0.14285714285714285,0.14285714285714285
3,4,1.7142857142857142,4.500000000000001,0.8571428571428571,1.1428571428571428
4,5,1.7142857142857142,4.642857142857143,1.1428571428571428,1.2857142857142858
5,6,1.7142857142857142,4.9142857142857155,0.14285714285714285,0.14285714285714285
6,7,1.7142857142857142,5.228571428571428,0.14285714285714285,0.2857142857142857
7,8,1.7142857142857142,5.685714285714285,0.42857142857142855,0.5714285714285714
8,9,1.7142857142857142,5.785714285714286,0.42857142857142855,0.42857142857142855
9,10,1.7142857142857142,6.3,0.5714285714285714,0.5714285714285714
10,11,1.7142857142857142,6.642857142857143,1.5714285714285714,1.7142857142857142
11,12,1.7142857142857142,6.885714285714285,0.2857142857142857,0.2857142857142857
12,13,1.7142857142857142,7.014285714285714,1.0,1.0
13,14,1.7142857142857142,7.257142857142858,0.5714285714285714,0.5714285714285714
14,15,1.7142857142857142,7.514285714285715,0.5714285714285714,0.5714285714285714
15,16,1.7142857142857142,7.814285714285715,0.0,0.14285714285714285
16,17,1.7142857142857142,8.057142857142857,1.0,1.0
17,18,1.7142857142857142,8.3,1.0,1.1428571428571428
18,19,1.7142857142857142,8.771428571428572,0.5714285714285714,0.5714285714285714
19,20,1.7142857142857142,9.071428571428573,0.0,0.0
20,21,1.7142857142857142,9.171428571428573,1.0,1.0
21,22,1.7142857142857142,9.342857142857143,0.7142857142857143,0.7142857142857143
22,23,1.7142857142857142,9.457142857142857,0.42857142857142855,0.42857142857142855
23,24,1.7142857142857142,10.085714285714285,0.14285714285714285,0.14285714285714285
24,25,1.6666666666666667,8.333333333333334,0.8333333333333334,0.8333333333333334
25,26,1.6666666666666667,8.533333333333333,0.6666666666666666,0.6666666666666666
26,27,1.6666666666666667,8.716666666666667,1.5,1.5
27,28,1.6666666666666667,8.883333333333335,1.0,1.0
28,29,1.6666666666666667,9.15,0.8333333333333334,0.8333333333333334
29,30,1.6666666666666667,9.499999999999998,0.5,0.6666666666666666
30,31,1.6666666666666667,9.833333333333334,0.8333333333333334,1.0
31,32,1.6666666666666667,10.216666666666667,0.0,0.0
32,33,1.6666666666666667,10.316666666666668,0.8333333333333334,0.8333333333333334
33,34,1.6666666666666667,10.450000000000001,1.6666666666666667,1.6666666666666667
34,35,1.6666666666666667,10.683333333333332,0.3333333333333333,0.3333333333333333
35,36,1.6666666666666667,11.15,0.3333333333333333,0.5
36,37,1.6666666666666667,11.333333333333334,0.8333333333333334,0.8333333333333334
37,38,1.6666666666666667,11.583333333333334,0.5,0.5
38,39,1.6666666666666667,12.116666666666669,0.16666666666666666,0.16666666666666666
39,40,1.6666666666666667,12.283333333333331,1.3333333333333333,1.5
40,41,1.6666666666666667,12.783333333333333,0.16666666666666666,0.16666666666666666
41,42,1.8,13.9,0.4,0.4
42,43,1.75,12.375,0.0,0.0
43,44,1.75,12.475,0.75,1.0
44,45,1.75,12.65,0.75,1.0
45,46,1.75,12.825,1.0,1.0
46,47,1.75,13.274999999999999,0.25,0.25
47,48,1.6666666666666667,14.633333333333333,0.3333333333333333,0.3333333333333333
48,49,1.6666666666666667,14.866666666666667,2.0,2.0
49,50,1.6666666666666667,14.966666666666669,0.3333333333333333,0.3333333333333333
50,51,1.6666666666666667,15.266666666666666,0.3333333333333333,0.6666666666666666
51,52,1.6666666666666667,15.399999999999999,1.3333333333333333,1.3333333333333333
52,53,1.6666666666666667,15.666666666666666,0.3333333333333333,0.3333333333333333
53,54,1.6666666666666667,15.933333333333335,0.0,0.0
54,55,1.6666666666666667,16.03333333333333,1.3333333333333333,1.3333333333333333
55,56,1.6666666666666667,16.133333333333336,0.0,0.0
56,57,1.6666666666666667,16.400000000000002,1.0,1.3333333333333333
57,58,1.6666666666666667,16.6,2.0,2.0
58,59,1.6666666666666667,16.7,1.3333333333333333,1.3333333333333333
59,60,1.6666666666666667,16.8,1.3333333333333333,1.3333333333333333
60,61,1.6666666666666667,17.066666666666666,1.0,1.0
61,62,1.6666666666666667,17.633333333333333,0.3333333333333333,0.3333333333333333
62,63,1.6666666666666667,17.766666666666666,1.6666666666666667,1.6666666666666667
63,64,1.6666666666666667,18.0,0.3333333333333333,0.3333333333333333
64,65,1.6666666666666667,18.366666666666667,0.0,0.0
65,66,1.6666666666666667,18.46666666666667,0.0,0.0
66,67,2.0,19.4,0.5,0.5
67,68,2.0,19.700000000000003,0.5,0.5
68,69,2.0,19.95,1.0,1.0
69,70,2.0,20.6,0.0,0.0
70,71,2.0,21.3,1.0,1.0
71,72,2.0,21.5,0.0,0.0
72,73,2.0,21.6,4.0,4.0
73,74,2.0,23.5,0.0,0.0
74,75,2.0,23.6,0.0,0.0
75,76,2.0,25.1,0.0,0.0
76,77,2.0,25.2,0.0,0.0
77,78,2.0,25.3,4.0,4.0
78,79,2.0,25.4,4.0,4.0
79,80,2.0,25.5,0.0,1.0
80,81,2.0,25.5,0.0,1.0
81,82,2.0,25.5,4.0,4.0
